epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.923,1.50725,2.28183,2.10659,1.06958,0,0.49451,0.36798,0.38289,0.19768,0.43628,0.34528,0.35174,0.13629,1.63983,2.86104,1.44517,1.17954,0,0.000553312,0.000553312,0.000553312
2,29.386,1.5291,2.15424,1.30624,1.06635,0,0.45333,0.46128,0.47072,0.23542,0.38632,0.45047,0.38523,0.1431,1.67782,2.45773,1.3946,1.1831,0,0.00108702,0.00108702,0.00108702
3,42.3439,1.51775,2.12354,1.19066,1.06832,0,0.35486,0.51598,0.4326,0.23292,0.26653,0.51511,0.40226,0.15777,1.63374,2.31953,1.44242,1.21467,0,0.00159873,0.00159873,0.00159873
4,55.3173,1.51184,2.06995,1.1915,1.08442,0,0.77385,0.34396,0.45922,0.23314,0.73965,0.32532,0.39936,0.14951,1.69126,2.38071,1.3409,1.23249,0,0.00156798,0.00156798,0.00156798
5,68.1,1.46335,1.97204,1.14234,1.04519,0,0.80458,0.40566,0.50846,0.26879,0.78524,0.37556,0.40855,0.16096,1.60072,2.59651,1.31928,1.17254,0,0.00153497,0.00153497,0.00153497
6,81.3026,1.43913,1.97543,1.10606,1.04097,0,0.82061,0.4064,0.46541,0.25882,0.7953,0.37528,0.41816,0.16502,1.52884,2.28687,1.40557,1.1476,0,0.00150197,0.00150197,0.00150197
7,94.6034,1.39461,1.86713,1.08083,1.03589,0,0.52724,0.53611,0.54817,0.28684,0.45777,0.52466,0.52953,0.20848,1.52068,2.22929,1.25688,1.12841,0,0.00146896,0.00146896,0.00146896
8,108.007,1.35954,1.88721,1.04142,1.01726,0,0.45195,0.5314,0.53253,0.30067,0.46998,0.54076,0.52797,0.22143,1.51418,2.08668,1.18689,1.1147,0,0.00143595,0.00143595,0.00143595
9,120.988,1.33622,1.81751,1.02245,1.00394,0,0.87811,0.36722,0.57579,0.31697,0.8645,0.35477,0.47159,0.18822,1.44064,2.07719,1.24824,1.09581,0,0.00140295,0.00140295,0.00140295
10,133.992,1.31303,1.81745,0.98667,0.99345,0,0.4469,0.613,0.56473,0.31395,0.41128,0.59704,0.51617,0.22108,1.48318,2.00623,1.17155,1.09966,0,0.00136994,0.00136994,0.00136994
11,147.266,1.31807,1.77997,1.00116,1.00653,0,0.41504,0.57112,0.53564,0.29793,0.80119,0.37464,0.48959,0.21909,1.46503,2.18293,1.18075,1.08808,0,0.00133693,0.00133693,0.00133693
12,160.563,1.2901,1.73012,0.98798,0.98906,0,0.42796,0.54823,0.55682,0.31599,0.8825,0.38159,0.48817,0.19871,1.40136,2.13909,1.20571,1.07834,0,0.00130393,0.00130393,0.00130393
13,173.815,1.27878,1.73336,0.94301,0.97331,0,0.50125,0.63407,0.60233,0.33951,0.43445,0.56434,0.50712,0.22003,1.37238,2.15227,1.09802,1.06624,0,0.00127092,0.00127092,0.00127092
14,186.958,1.2643,1.7003,0.9543,0.97237,0,0.37571,0.52636,0.50231,0.29324,0.41995,0.42689,0.43766,0.16451,1.42027,1.97429,1.22766,1.06754,0,0.00123791,0.00123791,0.00123791
15,199.895,1.2442,1.67361,0.93627,0.96655,0,0.43611,0.57527,0.54554,0.3179,0.37991,0.49982,0.46894,0.19584,1.38833,1.95523,1.14848,1.05038,0,0.00120491,0.00120491,0.00120491
16,212.979,1.24469,1.70263,0.93834,0.95512,0,0.59985,0.55866,0.63879,0.35779,0.59649,0.49939,0.53828,0.23333,1.3525,1.89559,1.05334,1.04379,0,0.0011719,0.0011719,0.0011719
17,226.014,1.21304,1.65874,0.90101,0.95209,0,0.69731,0.53755,0.64071,0.38003,0.6243,0.47743,0.56515,0.2503,1.32056,1.86591,1.04755,1.0337,0,0.00113889,0.00113889,0.00113889
18,239.519,1.2117,1.65643,0.91392,0.95434,0,0.5273,0.52075,0.56573,0.34383,0.48294,0.48743,0.51282,0.21227,1.36542,1.90013,1.20552,1.04496,0,0.00110589,0.00110589,0.00110589
19,252.751,1.21829,1.61505,0.89636,0.95342,0,0.47543,0.6101,0.62502,0.36463,0.54614,0.50856,0.54425,0.23146,1.31274,1.96724,1.05648,1.03635,0,0.00107288,0.00107288,0.00107288
20,265.994,1.16937,1.61644,0.85735,0.94587,0,0.52198,0.61671,0.63776,0.37267,0.61479,0.48573,0.55722,0.22324,1.32487,1.90401,1.0297,1.02375,0,0.00103987,0.00103987,0.00103987
21,279.273,1.1709,1.59246,0.86067,0.9383,0,0.56938,0.54459,0.61188,0.366,0.5245,0.50561,0.53874,0.24127,1.32971,1.86236,1.03853,1.04584,0,0.00100687,0.00100687,0.00100687
22,292.605,1.18593,1.56596,0.8681,0.9466,0,0.54155,0.55166,0.61223,0.37041,0.44783,0.59389,0.53965,0.23031,1.27774,1.91861,1.05813,1.01863,0,0.000973861,0.000973861,0.000973861
