epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7855,1.37519,2.26769,2.54308,1.12322,0,0.43587,0.41542,0.42857,0.20389,0.4137,0.43311,0.39545,0.18631,1.67604,2.83326,1.4411,1.30165,0,0.000553312,0.000553312,0.000553312
2,72.7235,1.43361,2.27788,1.37819,1.152,0,0.61421,0.40801,0.4641,0.22745,0.60934,0.40179,0.44537,0.22112,1.6057,2.20027,1.53479,1.30352,0,0.00108702,0.00108702,0.00108702
3,106.329,1.45548,2.28497,1.35251,1.17743,0,0.89147,0.38382,0.486,0.25196,0.88936,0.38174,0.46987,0.22245,1.52739,2.47306,1.42377,1.27688,0,0.00159873,0.00159873,0.00159873
4,139.964,1.42553,2.21388,1.27215,1.15563,0,0.52484,0.52303,0.47697,0.25304,0.53032,0.50228,0.48074,0.22374,1.55053,2.36229,1.46485,1.23685,0,0.00156798,0.00156798,0.00156798
5,173.728,1.41133,2.18063,1.18928,1.13625,0,0.43517,0.55125,0.50626,0.25633,0.40457,0.53673,0.48541,0.25722,1.62259,2.23276,1.31938,1.24695,0,0.00153497,0.00153497,0.00153497
6,207.447,1.38219,2.12939,1.16465,1.12182,0,0.85966,0.38535,0.4997,0.27273,0.86531,0.39103,0.52728,0.27648,1.56648,2.06524,1.42352,1.20168,0,0.00150197,0.00150197,0.00150197
7,241.003,1.34769,2.04443,1.12231,1.11347,0,0.57614,0.59678,0.58856,0.30936,0.57715,0.58031,0.58491,0.29606,1.54779,2.11981,1.19485,1.20215,0,0.00146896,0.00146896,0.00146896
8,275.072,1.32462,2.02296,1.09093,1.10031,0,0.55029,0.56695,0.55374,0.30921,0.55098,0.53693,0.54512,0.28554,1.47193,1.98435,1.23026,1.19284,0,0.00143595,0.00143595,0.00143595
9,308.747,1.31215,2.0123,1.07252,1.08726,0,0.57001,0.55867,0.554,0.29176,0.5607,0.56861,0.55646,0.29578,1.50733,2.07727,1.18691,1.19613,0,0.00140295,0.00140295,0.00140295
10,342.403,1.29111,1.95343,1.04053,1.0858,0,0.48345,0.53013,0.58793,0.3207,0.87215,0.41381,0.54681,0.31311,1.4616,1.93313,1.16511,1.19344,0,0.00136994,0.00136994,0.00136994
11,376.248,1.27687,1.92539,1.00308,1.07537,0,0.47261,0.64613,0.62403,0.35208,0.53254,0.55333,0.58535,0.32901,1.44444,1.98304,1.07549,1.17218,0,0.00133693,0.00133693,0.00133693
12,410.031,1.25039,1.91334,1.02121,1.06599,0,0.53489,0.53013,0.56211,0.33269,0.52919,0.53717,0.56197,0.29608,1.38013,1.95531,1.10452,1.15261,0,0.00130393,0.00130393,0.00130393
13,443.698,1.26258,1.90371,1.01493,1.06763,0,0.62022,0.50594,0.55083,0.31636,0.59171,0.48869,0.51792,0.27378,1.39655,2.19633,1.13432,1.17863,0,0.00127092,0.00127092,0.00127092
14,477.35,1.24783,1.90041,1.00502,1.06963,0,0.55638,0.56534,0.60224,0.34704,0.52643,0.54883,0.57188,0.3087,1.39921,1.95296,1.11858,1.15119,0,0.00123791,0.00123791,0.00123791
15,511.013,1.21921,1.82956,0.95952,1.04532,0,0.52314,0.66814,0.65575,0.36203,0.47709,0.59926,0.58956,0.32664,1.44411,1.94649,1.07086,1.16012,0,0.00120491,0.00120491,0.00120491
16,544.957,1.21823,1.82236,0.97144,1.04179,0,0.52758,0.6047,0.61096,0.35737,0.52015,0.60759,0.60193,0.34341,1.41695,1.87507,1.06448,1.13932,0,0.0011719,0.0011719,0.0011719
17,578.928,1.19029,1.79556,0.92475,1.02631,0,0.52894,0.62375,0.60544,0.34396,0.49927,0.58716,0.56078,0.32158,1.37909,1.87966,1.08488,1.14166,0,0.00113889,0.00113889,0.00113889
18,612.726,1.20866,1.80822,0.93491,1.03992,0,0.51827,0.57653,0.60817,0.35879,0.466,0.52805,0.56468,0.31389,1.35296,1.85712,1.12026,1.11801,0,0.00110589,0.00110589,0.00110589
19,646.329,1.18949,1.78884,0.93354,1.03018,0,0.60694,0.58036,0.59384,0.3481,0.59067,0.56095,0.58785,0.33487,1.38089,1.76115,1.04746,1.11709,0,0.00107288,0.00107288,0.00107288
20,680.109,1.16534,1.76248,0.91384,1.0267,0,0.50613,0.6511,0.62552,0.36921,0.47743,0.62168,0.59658,0.3296,1.3354,1.87061,1.0473,1.11359,0,0.00103987,0.00103987,0.00103987
21,713.592,1.16555,1.78196,0.90337,1.02826,0,0.48661,0.59713,0.60187,0.35635,0.62739,0.51768,0.57426,0.32718,1.35073,1.92532,1.03762,1.12026,0,0.00100687,0.00100687,0.00100687
22,747.216,1.17117,1.75325,0.91812,1.02071,0,0.49839,0.5898,0.59577,0.3705,0.47346,0.57156,0.56512,0.32664,1.26746,1.76918,1.0714,1.09772,0,0.000973861,0.000973861,0.000973861
23,780.89,1.1512,1.72627,0.88693,1.02066,0,0.53798,0.63412,0.62246,0.37356,0.51441,0.61174,0.60576,0.34625,1.37664,1.85107,1.02864,1.11249,0,0.000940855,0.000940855,0.000940855
24,814.77,1.14618,1.71509,0.87965,1.01517,0,0.49229,0.63491,0.62395,0.37374,0.49903,0.64123,0.62208,0.34579,1.3199,1.81963,1.03529,1.0898,0,0.000907848,0.000907848,0.000907848
25,848.334,1.12808,1.67509,0.8716,1.01201,0,0.68248,0.53547,0.63718,0.37643,0.64481,0.51932,0.60418,0.34129,1.32512,1.76324,1.05889,1.10656,0,0.000874842,0.000874842,0.000874842
26,882.308,1.11797,1.66316,0.85127,1.00106,0,0.67531,0.48536,0.5442,0.33685,0.67241,0.47724,0.53458,0.31195,1.30292,1.74741,1.13993,1.0872,0,0.000841835,0.000841835,0.000841835
27,916.011,1.1175,1.68681,0.86014,1.00211,0,0.49828,0.58275,0.61851,0.36762,0.49392,0.57156,0.58501,0.33498,1.30394,1.78969,1.08318,1.09503,0,0.000808828,0.000808828,0.000808828
28,949.583,1.09739,1.64513,0.83949,0.99245,0,0.54373,0.64865,0.63701,0.37904,0.53291,0.63538,0.62513,0.34782,1.32089,1.70096,1.03557,1.07829,0,0.000775822,0.000775822,0.000775822
29,983.313,1.1111,1.68571,0.8543,0.99854,0,0.62392,0.52824,0.62629,0.38372,0.61911,0.52363,0.6123,0.3563,1.29167,1.70254,1.03519,1.07876,0,0.000742815,0.000742815,0.000742815
30,1016.86,1.09152,1.64798,0.83734,0.99028,0,0.68973,0.50567,0.62117,0.38727,0.68904,0.49448,0.58523,0.33642,1.2699,1.79044,0.98776,1.07097,0,0.000709809,0.000709809,0.000709809
31,1050.54,1.08647,1.63915,0.82561,0.99,0,0.53881,0.63324,0.63515,0.38787,0.52236,0.61518,0.61536,0.35361,1.29134,1.71905,1.01689,1.07887,0,0.000676802,0.000676802,0.000676802
32,1084.23,1.08194,1.62497,0.81772,0.99769,0,0.56945,0.59728,0.62285,0.38166,0.60043,0.57074,0.59654,0.34955,1.28772,1.6888,1.01451,1.0744,0,0.000643795,0.000643795,0.000643795
33,1117.91,1.08315,1.61479,0.82114,0.98726,0,0.62827,0.56734,0.62321,0.38593,0.65162,0.54589,0.60873,0.35534,1.25791,1.67371,0.98447,1.07166,0,0.000610789,0.000610789,0.000610789
34,1151.57,1.06103,1.57884,0.79519,0.98048,0,0.67171,0.56471,0.65246,0.39921,0.7299,0.53717,0.61812,0.35809,1.27551,1.70146,0.9876,1.07266,0,0.000577782,0.000577782,0.000577782
35,1185.31,1.0605,1.58587,0.78638,0.98047,0,0.49296,0.57904,0.60464,0.36615,0.49756,0.57638,0.58385,0.33617,1.23195,1.66002,1.08144,1.05853,0,0.000544776,0.000544776,0.000544776
36,1218.9,1.06657,1.5789,0.79084,0.98289,0,0.56669,0.67122,0.6729,0.39746,0.6297,0.58565,0.6237,0.36614,1.2793,1.75298,0.95693,1.07557,0,0.000511769,0.000511769,0.000511769
37,1252.54,1.05718,1.56581,0.78359,0.97492,0,0.59198,0.64999,0.67916,0.4154,0.60184,0.60033,0.6488,0.36849,1.23871,1.61942,0.97439,1.05898,0,0.000478762,0.000478762,0.000478762
38,1286.41,1.0446,1.55025,0.77251,0.97729,0,0.57249,0.62458,0.65282,0.40703,0.56285,0.61425,0.625,0.37577,1.24079,1.62695,0.96415,1.06592,0,0.000445756,0.000445756,0.000445756
39,1320.04,1.05001,1.55002,0.77658,0.97078,0,0.51751,0.67556,0.66862,0.4074,0.75202,0.4941,0.61542,0.3565,1.26098,1.70675,1.00856,1.06904,0,0.000412749,0.000412749,0.000412749
40,1353.62,1.03103,1.54591,0.75735,0.96761,0,0.6886,0.57653,0.67612,0.40526,0.675,0.57156,0.64039,0.36474,1.25634,1.6256,0.98753,1.07046,0,0.000379743,0.000379743,0.000379743
41,1388.11,1.11258,1.6355,0.80004,1.03312,0,0.54672,0.67889,0.69857,0.41581,0.69844,0.52516,0.65366,0.37982,1.23039,1.66663,1.00599,1.06647,0,0.000346736,0.000346736,0.000346736
42,1421.56,1.11041,1.64566,0.79494,1.02317,0,0.56069,0.68647,0.68087,0.42217,0.54996,0.67441,0.67101,0.38716,1.25599,1.62723,1.01222,1.06325,0,0.000313729,0.000313729,0.000313729
43,1454.83,1.09001,1.63042,0.79189,1.01777,0,0.7715,0.49158,0.62711,0.38901,0.768,0.48743,0.61273,0.36355,1.25344,1.65515,1.04474,1.06534,0,0.000280723,0.000280723,0.000280723
44,1488.06,1.09028,1.59459,0.79991,1.01315,0,0.65734,0.53095,0.65064,0.40296,0.72171,0.49944,0.63825,0.37506,1.23323,1.68981,0.99976,1.05954,0,0.000247716,0.000247716,0.000247716
45,1521.2,1.08333,1.56934,0.77272,1.01734,0,0.74549,0.51894,0.67425,0.41196,0.80337,0.51828,0.64825,0.37692,1.23248,1.57917,0.99442,1.0538,0,0.00021471,0.00021471,0.00021471
46,1554.37,1.06811,1.57817,0.76489,1.00953,0,0.74557,0.55289,0.68043,0.41297,0.73336,0.54869,0.65213,0.37721,1.22279,1.6345,1.00379,1.05564,0,0.000181703,0.000181703,0.000181703
47,1587.65,1.0762,1.57865,0.76471,1.01843,0,0.80561,0.5664,0.70086,0.43089,0.78496,0.55347,0.67333,0.39392,1.21748,1.61018,0.97309,1.05269,0,0.000148696,0.000148696,0.000148696
48,1621,1.0686,1.55721,0.749,1.00596,0,0.80693,0.53509,0.68501,0.42597,0.80916,0.5268,0.65727,0.39305,1.21713,1.5994,0.98998,1.04341,0,0.00011569,0.00011569,0.00011569
49,1654.25,1.0541,1.55691,0.74384,1.00621,0,0.77594,0.55955,0.67433,0.42362,0.75612,0.54462,0.64704,0.38826,1.201,1.59279,1.00498,1.04132,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1687.54,1.06658,1.53791,0.74866,1.00772,0,0.77298,0.55799,0.69978,0.44057,0.78933,0.54563,0.6767,0.39985,1.18646,1.60077,0.96506,1.03414,0,4.96766e-05,4.96766e-05,4.96766e-05
